Num,onset,d,hof,hxf,empaul,ersumpa,erpka
1,3.87,1,-10.4519,-12.76816416,1.36,7.65,44
2,3.53,2,-11.394,-13.05245161,1.54,7.65,44
3,2.95,3,-8.1533,-8.64200906,1.63,7.65,44
4,2.72,5,-6.2645,-9.92466078,1.66,7.65,44
5,2.72,5,-5.4945,-7.70656324,1.55,7.65,44
6,3.17,6,-6.4484,-8.33119627,1.83,7.65,44
7,3.18,7,-5.5968,-7.64763053,1.88,7.65,44
8,3.34,8,-4.7538,-7.88908882,1.92,7.65,44
9,2.47,10,-3.2591,-8.18771585,1.9,7.65,44
10,2.57,10,-2.1943,-6.47270069,1.65,7.65,44
11,3.51,1,-10.3982,-12.91351921,1.22,7.65,44
12,3.12,2,3.3227,-14.60466514,1.33,7.65,44
13,3.42,4,-12.0684,-17.72774303,1.59,7.65,44
14,3.68,5,-7.7098,-14.61204179,2.16,7.65,44
15,3.51,6,-6.1499,-6.47326001,1.91,7.65,44
16,2.72,7,-6.137,-12.40966286,2.2,7.65,44
17,2.45,8,-4.8408,-8.09691444,2.28,7.65,44
18,2.65,10,-2.8129,-6.68892889,2.2,7.65,44
20,2.05,10,-0.2972,-6.621642518,1.69,7.65,44
21,3.52,2,-13.5823,-14.73108494,1.32,7.65,44
22,3.42,3,-13.8793,-10.51946208,1.51,7.65,44
23,3.01,4,-9.6354,-15.07969703,2.36,7.65,44
24,2.77,5,-8.9307,-12.45488113,1.93,7.65,44
25,3.67,6,-6.2095,-20.2879156,2.18,7.65,44
26,3.17,7,-6.5139,-18.29152374,2.2,7.65,44
27,2.75,9,-3.3838,-11.02740733,2.28,7.65,44
29,3.71,1,-10.4519,-12.76816416,1.36,10.2,44
30,3.23,2,-11.394,-13.05245161,1.54,10.2,44
31,3.03,3,-8.1533,-8.64200906,1.63,10.2,44
32,4.08,5,-6.2645,-9.92466078,1.66,10.2,44
33,3.07,5,-5.4945,-7.70656324,1.55,10.2,44
34,2.85,6,-6.4484,-8.33119627,1.83,10.2,44
35,2.29,7,-5.5968,-7.64763053,1.88,10.2,44
36,1.86,8,-4.7538,-7.88908882,1.92,10.2,44
37,1.83,10,-3.2591,-8.18771585,1.9,10.2,44
38,1.54,10,-2.1943,-6.47270069,1.65,10.2,44
39,3.58,1,-10.3982,-12.91351921,1.22,10.2,44
40,3.27,2,3.3227,-14.60466514,1.33,10.2,44
41,2.79,4,-12.0684,-17.72774303,1.59,10.2,44
42,3.67,5,-7.7098,-14.61204179,2.16,10.2,44
43,3.29,6,-6.1499,-6.47326001,1.91,10.2,44
44,2.77,7,-6.137,-12.40966286,2.2,10.2,44
45,2.34,8,-4.8408,-8.09691444,2.28,10.2,44
46,1.96,10,-2.8129,-6.68892889,2.2,10.2,44
48,1.81,10,-0.2972,-6.621642518,1.69,10.2,44
49,3.13,2,-13.5823,-14.73108494,1.32,10.2,44
